"month","threshold"
1,27.2054892288864
2,26.7829664839509
3,26.5907436285474
4,26.6452225327739
5,26.7120534211873
6,26.7197180974847
7,26.7981654554414
8,26.963596405025
9,27.3210351676391
10,27.7323731249368
11,27.8344813853124
12,27.693016440578
